rationale_id,district,source,venue,date,type,verbatim_text_excerpt,verdict,evidence_summary
R1,Calgary-Nolan Hill-Cochrane,Minority commissioners (Martin/Evans),EBC Final Report Appendix E p. 331,2026-03-23,Commuter-tie/Growth/Community-of-interest,"residents move fluidly between jurisdictions for work, education, health care, and commerce",PARTIALLY SUPPORTS,"StatsCan 2021 JtW: 36% Cochrane commuters to Calgary, but 49% work within Cochrane; city-level tie real but does not single out Nolan Hill"
R2,Calgary-Peigan-Chestermere,Minority,EBC Appendix E p. 332,2026-03-23,Commuter/Growth,"growing social economic and transportation connections between east Calgary and Chestermere",INCONCLUSIVE / LEANS CONTRADICTS,"CMA membership supports general tie; specific Forest Lawn-Chestermere pairing fails school and transit cross-reference; pop math CLOSED-FAIL Test 5"
R3,Calgary-Airdrie,Minority,EBC Appendix E p. 317,2026-03-23,Growth/Commuter,"significant population growth in north Calgary and south Airdrie and to reflect the strong economic community and transportation ties",SUPPORTS,"CMA membership; Airdrie projected 128470 by 2033 (City of Airdrie 2024 growth report); general case supported; 4-way split still CLOSED-FAIL Test 3"
R4,Calgary-Foothills-Airdrie West,Minority,EBC Appendix E p. 307,2026-03-23,Commuter-tie,"functional integration of Airdrie and northern Calgary",SUPPORTS general,"Same CMA data as R3; corridor defensible"
R5,Calgary-Bow-Springbank,Minority,EBC Appendix E p. 322-323,2026-03-23,Commuter/Schools,"Springbank shares strong and enduring connections with west Calgary through transportation corridors employment patterns educational institutions and community services",INCONCLUSIVE (schools contradicts),"Rocky View Schools vs Calgary Board of Education = different divisions; schools rationale unsupported"
R6,Calgary-North West-Bearspaw,Minority,EBC Appendix E p. 330,2026-03-23,Commuter/Economic,"shared commercial corridors and commuter patterns",SUPPORTS,"Rocky View County in Calgary CMA; Royal Vista commercial adjacency real"
R7,Calgary-West-Tsuutina,Minority,EBC Appendix E p. 333,2026-03-23,Indigenous/Commuter,"Tsuutina Nation recognizes its well-established economic employment and transportation ties with west Calgary",SUPPORTS,"Real First Nation adjacent to west Calgary; Taza Tsuutina Glenmore Trail commercial integration documented"
R8,Red Deer-Blackfalds,Minority,EBC Appendix E p. 349-350,2026-03-23,Economic/Commuter,"major employers like the chemical plant in Joffre remain connected to the residential communities east of Highway 2",SUPPORTS narrow,"Joffre NOVA petrochemical real; Hwy 21 corridor real; urban dilution concern remains"
R9,Red Deer-Innisfail,Minority,EBC Appendix E p. 350-351,2026-03-23,Commuter/Hub,"use the City of Red Deer as a regional hub for provincial services business and their social lives",SUPPORTS,"AHS Red Deer Zone covers Innisfail; provincial services in Red Deer"
R10,Red Deer-Lacombe,Minority,EBC Appendix E p. 351,2026-03-23,Economic-zone,"Highway 11 economic corridor that extends from the City of Red Deer west",PARTIALLY SUPPORTS,"Hwy 11 corridor real; Blackfalds is on Hwy 2 not Hwy 11 - minor inconsistency"
R11,Red Deer-Sylvan Lake,Minority,EBC Appendix E p. 351,2026-03-23,Commuter/Schools,"challenges of electoral divisions that represent a rural population but do not represent the urban community where they work go to school and gather",INCONCLUSIVE / LEANS CONTRADICTS,"Chinooks Edge vs Red Deer Public schools = different divisions; schools claim unsupported"
R12,Rocky Mountain House-Banff Park,Minority,EBC Appendix E p. 352,2026-03-23,Area/Indigenous/Historical/Economic,"geographic size location on a provincial border and small communities contained within this electoral division; historical precedent of portions of Banff National Park being included",PARTIALLY SUPPORTS (historical); CLOSED-FAIL (area via Test 2),"Banff NP historical precedent real but 2026 extension more extensive; Indigenous (Sunchild O'Chiese to RMH hub) supports; Banff NP section does not serve Indigenous communities"
R13,Olds-Three Hills-Didsbury,Minority,EBC Appendix E p. 349,2026-03-23,Community/Historical,"keep established communities of interest together along the Highway 2 corridor between Red Deer and Airdrie including Olds Carstairs and Crossfield",PARTIALLY SUPPORTS; CLOSED-FAIL on Airdrie slice,"Core Hwy 2 continuity holds; southern Rocky View/N Airdrie extension CLOSED-FAIL Test 1"
R14,Airdrie East,Minority,EBC Appendix E p. 339,2026-03-23,Procedural,current boundaries were used as a starting point,n/a,no positive claim to test
R15,Central Peace-Notley,Minority (shared with majority),EBC Appendix E p. 344,2026-03-23,Indigenous/Area,"meets all five criteria under section 15(2) including geographic size distance from Edmonton absence of large towns the presence of Indigenous communities and a boundary with another province",SUPPORTS,Shared with majority; not contested
R16,Lesser Slave Lake,Minority (shared),EBC Appendix E p. 344-345,2026-03-23,Indigenous/Area,"includes multiple Indigenous reserves and Metis settlements and covers a large geographic area",SUPPORTS,Shared with majority; not contested
R17,Hybrid doctrine general,Minority,EBC Appendix E pp. 302-303,2026-03-23,Rural-preservation/Growth/Economic-zone,"Hybrid constituencies are not only a good reflection of Alberta but also the best available instrument for preserving rural and suburban representation",INCONCLUSIVE,Philosophical/doctrinal; not directly testable
R18,Growth uncertainty hedge,Minority,EBC Appendix E p. 306,2026-03-23,Growth,"It is difficult to be confident about anticipated growth in any given area especially the timing and the intensity",Self-hedged,Minority concedes uncertainty in own text
R19,Set-aside motion (rural),Premier Danielle Smith,April 16 2026 press remarks (CBC Edmonton / Rimbey Review / Black Press),2026-04-16,Procedural/Rural-preservation,"Miller's addendum to the report recommends 91 ridings and the commission made it clear it did not want to lose two rural ridings",PARTIALLY SUPPORTS,"Miller's 91-seat addendum real but conditional on majority-map starting point; motion takes 91 but discards majority map"
R20,Set-aside legitimacy,Premier Smith,Legislature debate April 16-21 (Calgary Journal),2026-04-21,Political-framing,"The members should take our AI academy because then they'd learn how to use the marvels of modern technology",n/a,Dismissive political framing
R21,Growth justifies more seats,Minister Jason Nixon,Legislature debate (Calgary Journal),2026-04-21,Growth/Political-framing,"acting as if the sky is falling... reject Albertans receiving more seats despite the fact that the population has grown",SUPPORTS directional,"Alberta pop growth from 2017 ~16-20% real; 91-seat math defensible"
R22,Effective representation,MLA Brandon Lunty (UCP Leduc-Beaumont committee chair),Rimbey Review (press chain),2026-04-16,Growth/Political-framing,"as Alberta's population continues to grow it is critically important that Albertans have effective representation",n/a,Generic claim
R23,Procedural legitimacy,MLA Brandon Lunty,Calgary Journal,2026-04-21,Political-framing,"they've chosen to frame this in a way that risks undermining the confidence in a process that is clearly designed to establish and prioritize the independence of the advisory panel",n/a,Responsive framing
R24,Motion terms,Government motion / Government House Leader Joseph Schow,Alberta Legislative Assembly,2026-04-16,Procedural,"Special Select Committee 3 UCP 2 NDP chair Lunty advisory panel 91 seats no public hearings report Nov 2 2026",INCONCLUSIVE (legal),"Elections Alberta called timeline 'very challenging'; Miller's 91-seat was conditional not free-standing"
R25,20% growth since 2017,Government framing,April 16 2026,2026-04-16,Growth,"increase the number of seats from 87 to 91 to reflect Alberta's 20 per cent increase in population since 2017",SUPPORTS directional,"StatsCan quarterly pop 2017-2025 shows ~16-20% growth; figure approximately correct"
