jurisdiction,cycle_year,map_type_a,map_type_b,seats_total,seats_changed_between_a_and_b,seat_asymmetry_pct,eg_asymmetry_pp,data_quality,primary_source,acquired_in_session,notes
Alberta,2026,commission_majority_3_to_2,commission_minority_2_to_3,89,3,1.12,-0.51,measured_this_audit,"Alberta Electoral Boundaries Commission Final Report March 23 2026",yes,"Audit's own finding; 1 UCP seat shift (67/22 majority vs 66/23 minority under 338 Apr 2026 polling; 35/51 vs 38/51 under 2023 actual vote)"
Alberta,2017,commission_interim,commission_final,87,unknown,NA,NA,not_acquired,"Alberta Electoral Boundaries Commission Final Report Oct 2017; Interim Report May 2017",no,"Both reports available as PDFs at elections.ab.ca; would require extracting per-ED populations and vote attribution for both interim and final; not acquired in this session"
Alberta,2010,commission_interim,commission_final,87,unknown,NA,NA,not_acquired,"Alberta Electoral Boundaries Commission Final Report 2010",no,"Predecessor cycle; 87-seat baseline established; full interim-to-final comparison not performed in this session"
Canada_federal,2022_2024,commission_proposal,commission_final,338 (then 342 after redistribution),varies_by_province,NA,NA,not_acquired,"Representation Order 2023 (SI/2023-17)",no,"Federal Electoral Boundaries Commission publishes proposal and final reports per province. Not aggregated to national-level partisan-asymmetry measurement in this session; would require extracting per-riding 2021 vote totals for both proposal and final maps across all 10 provinces."
Canada_federal_AB,2022,AB_commission_proposal,AB_commission_final,37,unknown_without_crosswalk,NA,NA,not_acquired,"Report of the Federal Electoral Boundaries Commission for Alberta Feb 2023",no,"Alberta federal commission proposal and final reports both public; requires crosswalk from 2021 polls to proposal boundaries AND to final boundaries; not built in this session"
British_Columbia,2023,commission_preliminary,commission_final,93,unknown,NA,NA,not_acquired,"BC Electoral Boundaries Commission Final Report April 2023",no,"Preliminary report April 2022; final report April 2023; 6-seat increase to 93 total. Per-riding vote crosswalk not acquired in this session."
Saskatchewan,2022,commission_interim,commission_final,61,unknown,NA,NA,not_acquired,"Saskatchewan Constituency Boundaries Commission Final Report April 2022",no,"Commission's interim report published 2021; final April 2022. Province has no provincial-level vote dataset matched to the 2022 proposed boundaries to the granularity the Alberta audit uses; RT equivalent not computable in this session without substantial additional scraping."
Ontario,1996,commission_map,legislated_adjustment,redrawn,substantial,NA,NA,not_acquired,"Fewer Politicians Act SO 1996; Electoral Boundaries Readjustment Act 1996",no,"Commonly cited Canadian comparator for government override. Government reduced Ontario seats from 130 to 103 by legislative action after commission; no apples-to-apples partisan asymmetry comparable to Alberta 2026 minority-majority because there was only one final map."
Quebec,1992,commission_map,legislated_adjustment,125,small,NA,NA,not_acquired,"Commission de la representation electorale du Quebec Final Report 1992; Loi electorale amendment 1992",no,"Government amended specific ridings after commission report. Minor in scope vs Ontario 1996."
British_Columbia,2008,commission_map,legislated_adjustment,79 to 85,6 (net add),NA,NA,not_acquired,"BC Electoral Boundaries Commission Final Report 2008; Electoral Boundaries Commission Amendment Act 2008",no,"Government added 6 seats by legislative amendment after commission requested a two-seat expansion; BC 2008 is the closest Canadian precedent to Alberta 2026 in substantive scope."
Manitoba,2018,commission_preliminary,commission_final,57,unknown,NA,NA,not_acquired,"Manitoba Electoral Divisions Boundaries Commission Final Report 2018",no,"Not acquired."
Nova_Scotia,2019,commission_interim,commission_final,55,unknown,NA,NA,not_acquired,"Nova Scotia Electoral Boundaries Commission Final Report 2019",no,"Not acquired."
New_Brunswick,2023,commission_preliminary,commission_final,49,unknown,NA,NA,not_acquired,"Commission on Electoral Boundaries and Representation Final Report 2023",no,"Not acquired."
